Price,Date,Close,High,Low,Open,Volume
829,2024-03-26,63947.94140625,64147.15525884352,63615.91573329825,63748.727553656485,1099423
830,2024-03-27,63615.9140625,63881.53381829644,63483.10612357365,63881.53381829644,1883700
831,2024-03-28,63549.515625,64014.34925443881,63483.10971281047,63881.53743005975,1843185
832,2024-03-29,63018.2734375,63682.32089768289,63018.2734375,63682.32089768289,1442974
833,2024-04-01,63217.48828125,63748.727808922486,62885.46260696874,63018.27442785879,1825395
834,2024-04-02,62752.65625,63217.48987897542,62354.224655203965,63151.08396685209,1693835
835,2024-04-03,62287.8203125,62951.86777529039,62287.8203125,62686.24801458547,2315904
836,2024-04-04,63748.7265625,63748.7265625,62686.24752792875,63018.27319571821,3201841
837,2024-04-05,63018.2734375,63483.1070474224,62553.4398275776,62951.86752809858,1232478
838,2024-04-08,63018.2734375,63283.89319716192,62553.4398275776,63018.2734375,1435349
839,2024-04-09,62619.84375,63350.30101958611,62553.44171653719,63084.68125190314,1217827
840,2024-04-10,62752.65625,62819.06216212333,62487.036479450624,62619.84442575334,1280318
841,2024-04-11,62420.62890625,62819.06049044336,62088.60323241284,62420.62890625,1230385
842,2024-04-12,62819.0625,63416.704078492585,62287.822956043936,62752.6565875195,1410981
843,2024-04-15,61092.53125,64080.7546154424,61092.53125,62819.06168441344,2938123
844,2024-04-16,60428.484375,62287.82277339397,60096.45869151509,62287.82277339397,2925266
845,2024-04-17,60096.45703125,61158.936086693786,59432.40956056956,60561.29064852069,2406501
846,2024-04-19,60096.45703125,60362.07679511095,59565.2175035281,59764.43135693785,2128581
847,2024-04-22,60162.86328125,60694.10281197012,59897.24351588994,60096.45737042402,1590829
848,2024-04-23,59830.8359375,60561.289302395504,59233.190512611065,60162.86160443205,2484540
849,2024-04-24,60162.86328125,60494.885079492175,59830.83760506396,60428.48304661006,3274349
850,2024-04-25,60428.484375,61690.17731870992,60096.45869151509,60162.86460380087,1995376
851,2024-04-26,60561.2890625,61955.793755735685,60561.2890625,60893.31472811683,2636133
852,2024-05-02,61026.125,61424.556589556894,60494.885465886735,61158.93682250026,1840943
853,2024-05-03,61424.5546875,62022.20011435686,60959.72107903078,61358.148778306175,2295871
854,2024-05-06,61756.58203125,61955.79588629324,61557.36429826288,61690.17612025429,1863070
855,2024-05-07,61690.17578125,62487.035074987856,61690.17578125,62022.20145646007,1822704
856,2024-05-08,61756.58203125,61889.38997529753,61158.93658817641,61557.36429826288,1980875
857,2024-05-09,61424.5546875,62022.20011435686,61291.74286911235,61690.17444633152,1033942
858,2024-05-10,61092.53125,61557.36487544057,60893.31739308888,61557.36487544057,1298323
859,2024-05-13,60428.484375,61358.15163522501,60096.45869151509,61158.93777631164,1969992
860,2024-05-14,60162.86328125,60826.91075567821,60096.45737042402,60494.885079492175,1394087
861,2024-05-15,60428.484375,60627.69823391337,60295.672550428455,60428.484375,1447375
862,2024-05-16,61490.9609375,61557.36296911808,60760.50368820702,61092.52935807258,2680418
863,2024-05-17,60959.72265625,61490.96218765788,60893.31674533805,61490.96218765788,1621764
864,2024-05-20,61026.125,61756.58226786366,60959.72296669376,61291.74476705663,1805759
865,2024-05-21,60494.8828125,61092.52823164987,60229.263057093805,61026.12232331239,2222342
866,2024-05-22,60229.265625,60893.31698079952,60229.265625,60760.50515846206,2260040
867,2024-05-23,60428.484375,60760.50618054096,60096.45869151509,60229.26663814268,1969764
868,2024-05-24,59897.2421875,60428.48170643839,59764.43036879351,60428.48170643839,3596267
869,2024-05-27,59897.2421875,60162.86194696919,59565.21651867756,60030.05012826271,1881636
870,2024-05-28,60229.265625,60229.265625,59631.62405831309,59631.62405831309,2712451
871,2024-05-29,59631.625,60428.48431277689,59631.625,60295.6724883421,1773724
872,2024-05-30,58834.765625,59565.21902478697,58768.359712852834,59432.41107843659,3589094
873,2024-05-31,57905.09375,59100.384641623285,57905.09375,58901.17078566737,5863050
874,2024-06-03,58569.14453125,59299.59791453568,58436.332709955954,58436.332709955954,3189835
875,2024-06-04,58901.171875,59233.19368175238,58635.55210283171,59033.97982211216,3236227
876,2024-06-05,58967.5703125,59432.407793896906,58834.76237348926,58901.1682819665,3413651
877,2024-06-06,59100.3828125,59565.21642132543,58967.57099401057,59033.97690325529,2541313
878,2024-06-07,58768.359375,59565.21868235308,58768.359375,59166.7909676485,1928010
879,2024-06-10,58436.33203125,59233.191315927616,58369.92999931806,59033.97746424417,4368107
880,2024-06-11,57905.09375,58701.95305176756,57838.69171664396,58635.55101841152,3606807
